ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2021,Norte,total,fundamental,iniciais (1-5),95.9,0.960508,197.71,189.17,5.181272,5,
2021,Norte,publica,fundamental,iniciais (1-5),95.6,0.957238,198.76,191.06,5.235715,5,
2021,Norte,privada,fundamental,iniciais (1-5),99.2,0.991599,236.6,231.88,6.701271,6.6,
2021,Norte,estadual,fundamental,iniciais (1-5),95.6,0.958219,211.18,204.93,5.72533,5.5,
2021,Nordeste,total,fundamental,iniciais (1-5),97.1,0.971641,205.24,196.74,5.462852,5.3,
2021,Nordeste,privada,fundamental,iniciais (1-5),98.9,0.988796,238.16,230.69,6.709432,6.6,
2021,Nordeste,estadual,fundamental,iniciais (1-5),94.4,0.949618,198.66,190.17,5.217615,5,
2021,Sudeste,total,fundamental,iniciais (1-5),98.5,0.98499,225.96,216.47,6.217654,6.1,
2021,Sudeste,publica,fundamental,iniciais (1-5),98.3,0.983378,218.93,209.98,5.965273,5.9,
2021,Sudeste,privada,fundamental,iniciais (1-5),99.2,0.991397,256.41,244.75,7.313898,7.3,
2021,Sudeste,estadual,fundamental,iniciais (1-5),98.8,0.987596,223.97,214.25,6.139248,6.1,
2021,Sul,total,fundamental,iniciais (1-5),97.8,0.977709,228.78,219.79,6.331929,6.2,
2021,Sul,privada,fundamental,iniciais (1-5),99.1,0.990795,260.41,248.54,7.459269,7.4,
2021,Sul,estadual,fundamental,iniciais (1-5),98.5,0.984785,219.87,214.33,6.062363,6,
2021,Centro-Oeste,total,fundamental,iniciais (1-5),97.3,0.97301,219.03,211.98,6.003565,5.8,
2021,Centro-Oeste,publica,fundamental,iniciais (1-5),96.9,0.968728,212.79,206.57,5.785925,5.6,
2021,Centro-Oeste,privada,fundamental,iniciais (1-5),99.4,0.994,255.51,245.18,7.304524,7.3,
2021,Centro-Oeste,estadual,fundamental,iniciais (1-5),96.4,0.962585,217.1,210.06,5.931762,5.7,
2021,Norte,publica,fundamental,finais (6-9),92.4,0.924218,242.43,247.09,4.825333,4.5,
2021,Norte,privada,fundamental,finais (6-9),98.8,0.987499,283.09,286.17,6.154333,6.1,
2021,Norte,estadual,fundamental,finais (6-9),92.5,0.924929,244.07,248.34,4.8735,4.5,
2021,Nordeste,publica,fundamental,finais (6-9),93.9,0.938913,242.7,246.55,4.820833,4.5,
2021,Nordeste,privada,fundamental,finais (6-9),98.3,0.982499,282.28,282.48,6.079333,6,
2021,Nordeste,estadual,fundamental,finais (6-9),93.8,0.938125,243.1,248.04,4.852333,4.6,
2021,Sudeste,total,fundamental,finais (6-9),97.4,0.973993,263.84,265.1,5.482333,5.3,
2021,Sudeste,publica,fundamental,finais (6-9),97.1,0.97074,256.63,259.49,5.268667,5.1,
2021,Sudeste,privada,fundamental,finais (6-9),98.9,0.988499,295.72,289.89,6.426833,6.4,
2021,Sudeste,estadual,fundamental,finais (6-9),97.1,0.970735,256.58,259.54,5.268667,5.1,
2021,Sul,total,fundamental,finais (6-9),95.7,0.956709,266.94,266.29,5.553833,5.3,
2021,Sul,publica,fundamental,finais (6-9),95.3,0.952456,261.18,261.33,5.375167,5.1,
2021,Sul,privada,fundamental,finais (6-9),98.5,0.984994,304.52,298.61,6.718833,6.6,
2021,Sul,estadual,fundamental,finais (6-9),95.5,0.954695,260.29,260.1,5.339833,5.1,
2021,Centro-Oeste,total,fundamental,finais (6-9),96.4,0.963708,260.29,261.23,5.358667,5.2,
2021,Centro-Oeste,publica,fundamental,finais (6-9),96,0.959691,253.59,255.69,5.154667,4.9,
2021,Centro-Oeste,privada,fundamental,finais (6-9),98.8,0.987997,297.59,292.04,6.493833,6.4,
2021,Centro-Oeste,estadual,fundamental,finais (6-9),96.5,0.96538,253.63,255.31,5.149,5,
2021,Norte,total,medio,todos (1-4),81.9,0.840575,254.01,262.1,4.180723,3.5,
2021,Norte,privada,medio,todos (1-4),98.1,0.973803,303.12,303.99,5.497566,5.4,
2021,Norte,estadual,medio,todos (1-4),80.8,0.831054,250.28,258.94,4.08103,3.4,
2021,Nordeste,total,medio,todos (1-4),91,0.908373,259.84,266.2,4.323982,3.9,
2021,Nordeste,privada,medio,todos (1-4),98.1,0.949781,311.91,309.45,5.702758,5.4,
2021,Nordeste,estadual,medio,todos (1-4),90.5,0.909808,253.64,261.06,4.159958,3.8,
2021,Sudeste,total,medio,todos (1-4),93.8,0.912766,277.72,282.37,4.817172,4.4,
2021,Sudeste,privada,medio,todos (1-4),98.7,0.913649,328.72,317.89,6.0652,5.5,
2021,Sudeste,estadual,medio,todos (1-4),92.9,0.889286,267.04,274.92,4.555645,4.1,
2021,Sul,total,medio,todos (1-4),89.4,0.889731,285.19,286.68,4.986609,4.4,
2021,Sul,privada,medio,todos (1-4),98.3,0.972665,329.04,317.96,6.070743,5.9,
2021,Sul,estadual,medio,todos (1-4),88.2,0.881802,276.23,280.28,4.764957,4.2,
2021,Centro-Oeste,total,medio,todos (1-4),89.5,0.866176,275.89,278.91,4.739673,4.1,
2021,Centro-Oeste,privada,medio,todos (1-4),98.6,0.990196,324.06,313.85,5.939272,5.9,
2021,Centro-Oeste,estadual,medio,todos (1-4),88.4,0.872412,267.71,273,4.536312,4,
